"","Poll_spec","Poll_order","Julian_day","Plant_spec","Freq","Period"
"56","Andrena crataegi","Hymenoptera",188,"Rubus idaeus var. strigosus",1,"Past"
"59","Andrena crataegi","Hymenoptera",193,"Rubus idaeus var. strigosus",1,"Past"
"60","Andrena crataegi","Hymenoptera",176,"Rubus deliciosus",6,"Past"
"62","Andrena crataegi","Hymenoptera",179,"Rubus deliciosus",13,"Past"
"64","Andrena crataegi","Hymenoptera",179,"Rubus deliciosus",10,"Past"
"67","Andrena crataegi","Hymenoptera",187,"Rubus idaeus var. strigosus",2,"Past"
"75","Andrena crataegi","Hymenoptera",193,"Aquilegia coerulea",1,"Past"
"77","Andrena imitatrix","Hymenoptera",177,"Rubus deliciosus",1,"Past"
"78","Andrena prunorum","Hymenoptera",156,"Rubus deliciosus",4,"Past"
"79","Andrena prunorum","Hymenoptera",158,"Rubus deliciosus",1,"Past"
"80","Andrena prunorum","Hymenoptera",176,"Penstemon glaber",1,"Past"
"84","Andrena vicina","Hymenoptera",174,"Rubus deliciosus",6,"Past"
"85","Andrena vicina","Hymenoptera",156,"Rubus deliciosus",2,"Past"
"86","Andrena vicina","Hymenoptera",177,"Rubus deliciosus",1,"Past"
"87","Andrena vicina","Hymenoptera",206,"Geranium caespitosum",1,"Past"
"88","Andrena vicina","Hymenoptera",176,"Penstemon glaber",1,"Past"
"89","Andrena vicina","Hymenoptera",199,"Penstemon glaber",1,"Past"
"90","Andrena vicina","Hymenoptera",187,"Rubus idaeus var. strigosus",4,"Past"
"91","Andrena vicina","Hymenoptera",187,"Rubus deliciosus",1,"Past"
"92","Andrena vicina","Hymenoptera",178,"Rubus deliciosus",1,"Past"
"93","Andrena vicina","Hymenoptera",178,"Rubus idaeus var. strigosus",3,"Past"
"94","Andrena vicina","Hymenoptera",178,"Rubus idaeus var. strigosus",2,"Past"
"96","Andrena vicina","Hymenoptera",185,"Rubus idaeus var. strigosus",1,"Past"
"98","Andrena vicina","Hymenoptera",174,"Rubus deliciosus",5,"Past"
"99","Andrena vicina","Hymenoptera",176,"Rubus deliciosus",6,"Past"
"106","Andrena vicina","Hymenoptera",193,"Aquilegia coerulea",2,"Past"
"107","Andrena vicinoides","Hymenoptera",177,"Rubus deliciosus",1,"Past"
"108","Anthophora marginata","Hymenoptera",201,"Chamaenerion angustifolium",1,"Past"
"109","Anthophora terminalis","Hymenoptera",176,"Penstemon glaber",1,"Past"
"110","Anthophora terminalis","Hymenoptera",193,"Penstemon glaber",6,"Past"
"111","Anthophora terminalis","Hymenoptera",199,"Penstemon glaber",1,"Past"
"112","Anthophora terminalis","Hymenoptera",193,"Penstemon glaber",4,"Past"
"113","Anthophora terminalis","Hymenoptera",199,"Penstemon glaber",2,"Past"
"122","Anthophora terminalis","Hymenoptera",201,"Aquilegia coerulea",1,"Past"
"124","Anthophora terminalis","Hymenoptera",214,"Geranium caespitosum",1,"Past"
"125","Anthophora ursina","Hymenoptera",168,"Penstemon virens",1,"Past"
"126","Anthophora ursina","Hymenoptera",188,"Rubus idaeus var. strigosus",2,"Past"
"130","Anthophora ursina","Hymenoptera",184,"Penstemon secundiflorus",1,"Past"
"132","Anthophora ursina","Hymenoptera",170,"Penstemon glaber",1,"Past"
"133","Anthophora ursina","Hymenoptera",195,"Penstemon glaber",2,"Past"
"134","Anthophora ursina","Hymenoptera",184,"Penstemon secundiflorus",1,"Past"
"135","Apis mellifera","Hymenoptera",161,"Rubus deliciosus",22,"Past"
"136","Apis mellifera","Hymenoptera",162,"Rubus deliciosus",5,"Past"
"137","Apis mellifera","Hymenoptera",174,"Rubus deliciosus",62,"Past"
"138","Apis mellifera","Hymenoptera",187,"Rubus deliciosus",1,"Past"
"139","Apis mellifera","Hymenoptera",156,"Rubus deliciosus",12,"Past"
"140","Apis mellifera","Hymenoptera",158,"Rubus deliciosus",77,"Past"
"141","Apis mellifera","Hymenoptera",177,"Rubus deliciosus",1,"Past"
"142","Apis mellifera","Hymenoptera",178,"Rubus deliciosus",1,"Past"
"143","Apis mellifera","Hymenoptera",180,"Rubus idaeus var. strigosus",34,"Past"
"144","Apis mellifera","Hymenoptera",181,"Rubus idaeus var. strigosus",118,"Past"
"145","Apis mellifera","Hymenoptera",182,"Rubus idaeus var. strigosus",47,"Past"
"146","Apis mellifera","Hymenoptera",180,"Geranium caespitosum",2,"Past"
"148","Apis mellifera","Hymenoptera",191,"Penstemon glaber",2,"Past"
"149","Apis mellifera","Hymenoptera",193,"Penstemon glaber",1,"Past"
"150","Apis mellifera","Hymenoptera",187,"Rubus idaeus var. strigosus",73,"Past"
"151","Apis mellifera","Hymenoptera",188,"Rubus idaeus var. strigosus",50,"Past"
"152","Apis mellifera","Hymenoptera",188,"Rubus deliciosus",3,"Past"
"153","Apis mellifera","Hymenoptera",187,"Rubus idaeus var. strigosus",48,"Past"
"154","Apis mellifera","Hymenoptera",187,"Rubus deliciosus",2,"Past"
"155","Apis mellifera","Hymenoptera",178,"Rubus deliciosus",4,"Past"
"156","Apis mellifera","Hymenoptera",178,"Rubus idaeus var. strigosus",50,"Past"
"157","Apis mellifera","Hymenoptera",179,"Rubus deliciosus",12,"Past"
"158","Apis mellifera","Hymenoptera",179,"Rubus idaeus var. strigosus",6,"Past"
"159","Apis mellifera","Hymenoptera",178,"Rubus idaeus var. strigosus",25,"Past"
"160","Apis mellifera","Hymenoptera",188,"Rubus idaeus var. strigosus",36,"Past"
"161","Apis mellifera","Hymenoptera",188,"Rubus idaeus var. strigosus",4,"Past"
"163","Apis mellifera","Hymenoptera",193,"Rubus idaeus var. strigosus",20,"Past"
"164","Apis mellifera","Hymenoptera",195,"Rubus idaeus var. strigosus",57,"Past"
"166","Apis mellifera","Hymenoptera",194,"Rubus idaeus var. strigosus",15,"Past"
"167","Apis mellifera","Hymenoptera",194,"Rubus idaeus var. strigosus",26,"Past"
"168","Apis mellifera","Hymenoptera",199,"Rubus idaeus var. strigosus",22,"Past"
"170","Apis mellifera","Hymenoptera",185,"Rubus idaeus var. strigosus",1,"Past"
"171","Apis mellifera","Hymenoptera",185,"Penstemon secundiflorus",1,"Past"
"172","Apis mellifera","Hymenoptera",193,"Rubus idaeus var. strigosus",1,"Past"
"173","Apis mellifera","Hymenoptera",193,"Aquilegia coerulea",1,"Past"
"174","Apis mellifera","Hymenoptera",174,"Rubus deliciosus",3,"Past"
"175","Apis mellifera","Hymenoptera",184,"Rubus deliciosus",23,"Past"
"177","Apis mellifera","Hymenoptera",187,"Rubus idaeus var. strigosus",50,"Past"
"179","Apis mellifera","Hymenoptera",188,"Rubus idaeus var. strigosus",42,"Past"
"181","Apis mellifera","Hymenoptera",201,"Aquilegia coerulea",1,"Past"
"182","Apis mellifera","Hymenoptera",195,"Geranium richardsonii",1,"Past"
"183","Apis mellifera","Hymenoptera",204,"Geranium caespitosum",1,"Past"
"184","Apis mellifera","Hymenoptera",204,"Geranium caespitosum",1,"Past"
"185","Apis mellifera","Hymenoptera",190,"Geranium richardsonii",49,"Past"
"186","Apis mellifera","Hymenoptera",190,"Geranium caespitosum",5,"Past"
"187","Apis mellifera","Hymenoptera",190,"Geranium caespitosum",1,"Past"
"188","Apis mellifera","Hymenoptera",183,"Rubus idaeus var. strigosus",29,"Past"
"189","Apis mellifera","Hymenoptera",191,"Geranium caespitosum",11,"Past"
"190","Apis mellifera","Hymenoptera",192,"Geranium caespitosum",48,"Past"
"191","Apis mellifera","Hymenoptera",189,"Rubus idaeus var. strigosus",24,"Past"
"192","Apis mellifera","Hymenoptera",192,"Geranium caespitosum",16,"Past"
"193","Apis mellifera","Hymenoptera",193,"Aquilegia coerulea",1,"Past"
"197","Apis mellifera","Hymenoptera",196,"Geranium caespitosum",7,"Past"
"199","Apis mellifera","Hymenoptera",195,"Penstemon glaber",1,"Past"
"200","Apis mellifera","Hymenoptera",195,"Geranium caespitosum",19,"Past"
"201","Apis mellifera","Hymenoptera",187,"Geranium caespitosum",4,"Past"
"207","Bombus appositus","Hymenoptera",205,"Chamaenerion angustifolium",42,"Past"
"208","Bombus appositus","Hymenoptera",201,"Chamaenerion angustifolium",3,"Past"
"209","Bombus bifarius","Hymenoptera",209,"Aconitum columbianum",1,"Past"
"210","Bombus bifarius","Hymenoptera",156,"Rubus deliciosus",10,"Past"
"211","Bombus bifarius","Hymenoptera",158,"Rubus deliciosus",1,"Past"
"212","Bombus bifarius","Hymenoptera",181,"Rubus idaeus var. strigosus",6,"Past"
"213","Bombus bifarius","Hymenoptera",182,"Rubus idaeus var. strigosus",15,"Past"
"214","Bombus bifarius","Hymenoptera",197,"Geranium caespitosum",10,"Past"
"215","Bombus bifarius","Hymenoptera",197,"Geranium caespitosum",6,"Past"
"216","Bombus bifarius","Hymenoptera",206,"Chamaenerion angustifolium",1,"Past"
"217","Bombus bifarius","Hymenoptera",221,"Chamaenerion angustifolium",7,"Past"
"218","Bombus bifarius","Hymenoptera",221,"Chamaenerion angustifolium",9,"Past"
"219","Bombus bifarius","Hymenoptera",220,"Chamaenerion angustifolium",7,"Past"
"222","Bombus bifarius","Hymenoptera",178,"Rubus deliciosus",10,"Past"
"223","Bombus bifarius","Hymenoptera",178,"Rubus idaeus var. strigosus",7,"Past"
"224","Bombus bifarius","Hymenoptera",178,"Rubus idaeus var. strigosus",6,"Past"
"225","Bombus bifarius","Hymenoptera",193,"Rubus idaeus var. strigosus",14,"Past"
"226","Bombus bifarius","Hymenoptera",174,"Rubus idaeus var. strigosus",5,"Past"
"229","Bombus bifarius","Hymenoptera",194,"Rubus idaeus var. strigosus",14,"Past"
"230","Bombus bifarius","Hymenoptera",194,"Rubus idaeus var. strigosus",37,"Past"
"231","Bombus bifarius","Hymenoptera",179,"Rubus deliciosus",1,"Past"
"237","Bombus bifarius","Hymenoptera",217,"Geranium caespitosum",2,"Past"
"238","Bombus bifarius","Hymenoptera",217,"Geranium richardsonii",5,"Past"
"239","Bombus bifarius","Hymenoptera",190,"Geranium caespitosum",2,"Past"
"240","Bombus bifarius","Hymenoptera",190,"Geranium richardsonii",15,"Past"
"242","Bombus bifarius","Hymenoptera",229,"Chamaenerion angustifolium",133,"Past"
"244","Bombus bifarius","Hymenoptera",229,"Chamaenerion angustifolium",16,"Past"
"245","Bombus bifarius","Hymenoptera",202,"Penstemon glaber",22,"Past"
"248","Bombus bifarius","Hymenoptera",187,"Penstemon virens",7,"Past"
"249","Bombus bifarius","Hymenoptera",193,"Penstemon virens",1,"Past"
"250","Bombus bifarius","Hymenoptera",184,"Geranium caespitosum",85,"Past"
"252","Bombus bifarius","Hymenoptera",214,"Geranium caespitosum",50,"Past"
"254","Bombus centralis","Hymenoptera",208,"Aconitum columbianum",1,"Past"
"255","Bombus centralis","Hymenoptera",209,"Aconitum columbianum",1,"Past"
"256","Bombus centralis","Hymenoptera",208,"Aconitum columbianum",1,"Past"
"257","Bombus centralis","Hymenoptera",209,"Aconitum columbianum",1,"Past"
"258","Bombus centralis","Hymenoptera",209,"Aconitum columbianum",1,"Past"
"259","Bombus centralis","Hymenoptera",209,"Aconitum columbianum",1,"Past"
"260","Bombus centralis","Hymenoptera",211,"Aconitum columbianum",1,"Past"
"261","Bombus centralis","Hymenoptera",162,"Rubus deliciosus",6,"Past"
"262","Bombus centralis","Hymenoptera",164,"Rubus deliciosus",4,"Past"
"263","Bombus centralis","Hymenoptera",174,"Rubus deliciosus",2,"Past"
"264","Bombus centralis","Hymenoptera",187,"Rubus deliciosus",29,"Past"
"265","Bombus centralis","Hymenoptera",156,"Rubus deliciosus",37,"Past"
"266","Bombus centralis","Hymenoptera",177,"Rubus deliciosus",1,"Past"
"267","Bombus centralis","Hymenoptera",178,"Rubus deliciosus",1,"Past"
"268","Bombus centralis","Hymenoptera",181,"Rubus idaeus var. strigosus",8,"Past"
"269","Bombus centralis","Hymenoptera",182,"Rubus idaeus var. strigosus",15,"Past"
"270","Bombus centralis","Hymenoptera",229,"Geranium caespitosum",66,"Past"
"271","Bombus centralis","Hymenoptera",231,"Geranium caespitosum",10,"Past"
"272","Bombus centralis","Hymenoptera",232,"Geranium caespitosum",2,"Past"
"273","Bombus centralis","Hymenoptera",197,"Geranium caespitosum",4,"Past"
"274","Bombus centralis","Hymenoptera",197,"Geranium caespitosum",22,"Past"
"275","Bombus centralis","Hymenoptera",206,"Geranium caespitosum",5,"Past"
"276","Bombus centralis","Hymenoptera",198,"Chamaenerion angustifolium",1,"Past"
"277","Bombus centralis","Hymenoptera",199,"Chamaenerion angustifolium",1,"Past"
"278","Bombus centralis","Hymenoptera",202,"Chamaenerion angustifolium",1,"Past"
"279","Bombus centralis","Hymenoptera",206,"Chamaenerion angustifolium",1,"Past"
"280","Bombus centralis","Hymenoptera",200,"Chamaenerion angustifolium",43,"Past"
"281","Bombus centralis","Hymenoptera",200,"Chamaenerion angustifolium",27,"Past"
"282","Bombus centralis","Hymenoptera",202,"Chamaenerion angustifolium",1,"Past"
"283","Bombus centralis","Hymenoptera",203,"Chamaenerion angustifolium",1,"Past"
"284","Bombus centralis","Hymenoptera",221,"Chamaenerion angustifolium",8,"Past"
"285","Bombus centralis","Hymenoptera",221,"Chamaenerion angustifolium",15,"Past"
"286","Bombus centralis","Hymenoptera",220,"Chamaenerion angustifolium",9,"Past"
"288","Bombus centralis","Hymenoptera",178,"Penstemon glaber",1,"Past"
"289","Bombus centralis","Hymenoptera",194,"Penstemon glaber",1,"Past"
"290","Bombus centralis","Hymenoptera",205,"Penstemon glaber",1,"Past"
"291","Bombus centralis","Hymenoptera",182,"Penstemon glaber",1,"Past"
"292","Bombus centralis","Hymenoptera",178,"Penstemon glaber",2,"Past"
"293","Bombus centralis","Hymenoptera",191,"Penstemon glaber",1,"Past"
"294","Bombus centralis","Hymenoptera",193,"Penstemon glaber",1,"Past"
"295","Bombus centralis","Hymenoptera",199,"Penstemon glaber",4,"Past"
"296","Bombus centralis","Hymenoptera",178,"Penstemon glaber",9,"Past"
"297","Bombus centralis","Hymenoptera",191,"Penstemon glaber",4,"Past"
"298","Bombus centralis","Hymenoptera",193,"Penstemon glaber",1,"Past"
"299","Bombus centralis","Hymenoptera",199,"Penstemon glaber",8,"Past"
"305","Bombus centralis","Hymenoptera",187,"Rubus idaeus var. strigosus",2,"Past"
"306","Bombus centralis","Hymenoptera",187,"Rubus deliciosus",1,"Past"
"307","Bombus centralis","Hymenoptera",188,"Rubus idaeus var. strigosus",2,"Past"
"308","Bombus centralis","Hymenoptera",188,"Rubus deliciosus",3,"Past"
"309","Bombus centralis","Hymenoptera",187,"Rubus idaeus var. strigosus",1,"Past"
"310","Bombus centralis","Hymenoptera",187,"Rubus deliciosus",2,"Past"
"311","Bombus centralis","Hymenoptera",178,"Rubus idaeus var. strigosus",1,"Past"
"312","Bombus centralis","Hymenoptera",179,"Rubus deliciosus",6,"Past"
"313","Bombus centralis","Hymenoptera",179,"Rubus idaeus var. strigosus",3,"Past"
"314","Bombus centralis","Hymenoptera",188,"Rubus idaeus var. strigosus",3,"Past"
"315","Bombus centralis","Hymenoptera",193,"Rubus idaeus var. strigosus",1,"Past"
"317","Bombus centralis","Hymenoptera",199,"Rubus idaeus var. strigosus",2,"Past"
"318","Bombus centralis","Hymenoptera",193,"Rubus idaeus var. strigosus",4,"Past"
"319","Bombus centralis","Hymenoptera",193,"Aquilegia coerulea",20,"Past"
"320","Bombus centralis","Hymenoptera",184,"Rubus deliciosus",2,"Past"
"322","Bombus centralis","Hymenoptera",187,"Rubus idaeus var. strigosus",1,"Past"
"329","Bombus centralis","Hymenoptera",193,"Aquilegia coerulea",29,"Past"
"331","Bombus centralis","Hymenoptera",201,"Aquilegia coerulea",13,"Past"
"332","Bombus centralis","Hymenoptera",201,"Rubus deliciosus",6,"Past"
"334","Bombus centralis","Hymenoptera",194,"Aquilegia coerulea",28,"Past"
"335","Bombus centralis","Hymenoptera",190,"Geranium richardsonii",1,"Past"
"337","Bombus centralis","Hymenoptera",193,"Aquilegia coerulea",1,"Past"
"338","Bombus centralis","Hymenoptera",214,"Geranium caespitosum",1,"Past"
"341","Bombus centralis","Hymenoptera",184,"Penstemon secundiflorus",1,"Past"
"346","Bombus centralis","Hymenoptera",227,"Chamaenerion angustifolium",23,"Past"
"349","Bombus centralis","Hymenoptera",226,"Chamaenerion angustifolium",7,"Past"
"350","Bombus centralis","Hymenoptera",229,"Chamaenerion angustifolium",46,"Past"
"351","Bombus centralis","Hymenoptera",229,"Chamaenerion angustifolium",121,"Past"
"353","Bombus centralis","Hymenoptera",205,"Chamaenerion angustifolium",140,"Past"
"354","Bombus centralis","Hymenoptera",205,"Aconitum columbianum",4,"Past"
"356","Bombus centralis","Hymenoptera",195,"Aquilegia coerulea",1,"Past"
"358","Bombus centralis","Hymenoptera",170,"Penstemon glaber",4,"Past"
"359","Bombus centralis","Hymenoptera",170,"Penstemon glaber",6,"Past"
"361","Bombus centralis","Hymenoptera",202,"Penstemon glaber",1,"Past"
"362","Bombus centralis","Hymenoptera",182,"Penstemon virens",1,"Past"
"363","Bombus centralis","Hymenoptera",187,"Penstemon virens",5,"Past"
"364","Bombus centralis","Hymenoptera",173,"Penstemon secundiflorus",1,"Past"
"366","Bombus centralis","Hymenoptera",184,"Geranium caespitosum",74,"Past"
"370","Bombus centralis","Hymenoptera",201,"Chamaenerion angustifolium",35,"Past"
"372","Bombus huntii","Hymenoptera",156,"Rubus deliciosus",1,"Past"
"373","Bombus huntii","Hymenoptera",177,"Rubus deliciosus",1,"Past"
"376","Bombus melanopygus","Hymenoptera",156,"Rubus deliciosus",1,"Past"
"377","Bombus melanopygus","Hymenoptera",170,"Penstemon virens",1,"Past"
"379","Bombus melanopygus","Hymenoptera",214,"Geranium caespitosum",1,"Past"
"382","Bombus morrisoni","Hymenoptera",161,"Rubus deliciosus",1,"Past"
"383","Bombus morrisoni","Hymenoptera",162,"Rubus deliciosus",1,"Past"
"384","Bombus morrisoni","Hymenoptera",158,"Rubus deliciosus",2,"Past"
"385","Bombus morrisoni","Hymenoptera",181,"Rubus idaeus var. strigosus",3,"Past"
"386","Bombus morrisoni","Hymenoptera",182,"Rubus idaeus var. strigosus",3,"Past"
"387","Bombus morrisoni","Hymenoptera",166,"Penstemon virens",3,"Past"
"392","Bombus morrisoni","Hymenoptera",179,"Rubus deliciosus",2,"Past"
"397","Bombus occidentalis","Hymenoptera",180,"Rubus idaeus var. strigosus",2,"Past"
"398","Bombus occidentalis","Hymenoptera",181,"Rubus idaeus var. strigosus",8,"Past"
"399","Bombus occidentalis","Hymenoptera",182,"Rubus idaeus var. strigosus",7,"Past"
"400","Bombus occidentalis","Hymenoptera",197,"Geranium caespitosum",1,"Past"
"401","Bombus occidentalis","Hymenoptera",197,"Geranium caespitosum",2,"Past"
"402","Bombus occidentalis","Hymenoptera",200,"Chamaenerion angustifolium",3,"Past"
"403","Bombus occidentalis","Hymenoptera",200,"Chamaenerion angustifolium",3,"Past"
"404","Bombus occidentalis","Hymenoptera",221,"Chamaenerion angustifolium",4,"Past"
"405","Bombus occidentalis","Hymenoptera",221,"Chamaenerion angustifolium",11,"Past"
"406","Bombus occidentalis","Hymenoptera",220,"Chamaenerion angustifolium",1,"Past"
"408","Bombus occidentalis","Hymenoptera",187,"Rubus idaeus var. strigosus",2,"Past"
"409","Bombus occidentalis","Hymenoptera",178,"Rubus deliciosus",1,"Past"
"410","Bombus occidentalis","Hymenoptera",178,"Rubus idaeus var. strigosus",6,"Past"
"411","Bombus occidentalis","Hymenoptera",178,"Rubus idaeus var. strigosus",2,"Past"
"413","Bombus occidentalis","Hymenoptera",194,"Rubus idaeus var. strigosus",2,"Past"
"414","Bombus occidentalis","Hymenoptera",176,"Rubus deliciosus",1,"Past"
"419","Bombus occidentalis","Hymenoptera",193,"Chamaenerion angustifolium",7,"Past"
"422","Bombus occidentalis","Hymenoptera",190,"Geranium richardsonii",3,"Past"
"423","Bombus occidentalis","Hymenoptera",205,"Chamaenerion angustifolium",7,"Past"
"424","Bombus occidentalis","Hymenoptera",184,"Geranium caespitosum",5,"Past"
"426","Bombus occidentalis","Hymenoptera",156,"Rubus deliciosus",35,"Past"
"427","Bombus occidentalis","Hymenoptera",187,"Rubus deliciosus",7,"Past"
"428","Bombus occidentalis","Hymenoptera",158,"Rubus deliciosus",2,"Past"
"429","Bombus occidentalis","Hymenoptera",178,"Rubus deliciosus",1,"Past"
"435","Bombus occidentalis","Hymenoptera",194,"Aquilegia coerulea",1,"Past"
"436","Bombus occidentalis","Hymenoptera",204,"Geranium caespitosum",1,"Past"
"438","Bombus occidentalis","Hymenoptera",193,"Aquilegia coerulea",2,"Past"
"440","Bombus occidentalis","Hymenoptera",214,"Geranium caespitosum",1,"Past"
"443","Bombus occidentalis","Hymenoptera",214,"Geranium caespitosum",9,"Past"
"444","Calliphora vomitoria","Diptera",188,"Rubus deliciosus",4,"Past"
"445","Coelioxys moesta","Hymenoptera",180,"Geranium caespitosum",1,"Past"
"446","Colletes kincaidii","Hymenoptera",231,"Geranium caespitosum",5,"Past"
"447","Colletes kincaidii","Hymenoptera",197,"Geranium caespitosum",3,"Past"
"448","Colletes paniscus","Hymenoptera",187,"Rubus idaeus var. strigosus",2,"Past"
"451","Colletes paniscus","Hymenoptera",168,"Rubus deliciosus",24,"Past"
"452","Colletes paniscus","Hymenoptera",184,"Geranium caespitosum",2,"Past"
"453","Ectemnius dilectus","Hymenoptera",195,"Rubus idaeus var. strigosus",1,"Past"
"455","Ectemnius dilectus","Hymenoptera",190,"Geranium caespitosum",1,"Past"
"456","Ectemnius dilectus","Hymenoptera",193,"Geranium caespitosum",1,"Past"
"457","Ectemnius dilectus","Hymenoptera",196,"Geranium caespitosum",2,"Past"
"458","Eristalis arbustorum","Diptera",187,"Rubus deliciosus",1,"Past"
"459","Eristalis arbustorum","Diptera",177,"Rubus deliciosus",1,"Past"
"460","Eristalis arbustorum","Diptera",178,"Rubus deliciosus",1,"Past"
"461","Eristalis arbustorum","Diptera",193,"Aquilegia coerulea",1,"Past"
"463","Eristalis stipator","Diptera",184,"Rubus deliciosus",3,"Past"
"465","Eristalis stipator","Diptera",193,"Geranium caespitosum",1,"Past"
"466","Erynnis martialis","Lepidoptera",229,"Geranium caespitosum",1,"Past"
"468","Eupeodes americanus","Diptera",161,"Rubus deliciosus",1,"Past"
"469","Eupeodes americanus","Diptera",162,"Rubus deliciosus",6,"Past"
"470","Eupeodes americanus","Diptera",156,"Rubus deliciosus",2,"Past"
"471","Eupeodes americanus","Diptera",177,"Rubus deliciosus",1,"Past"
"473","Eupeodes americanus","Diptera",188,"Rubus deliciosus",2,"Past"
"474","Eupeodes americanus","Diptera",179,"Rubus deliciosus",1,"Past"
"475","Eupeodes americanus","Diptera",184,"Rubus deliciosus",4,"Past"
"479","Eupeodes americanus","Diptera",194,"Aquilegia coerulea",1,"Past"
"480","Eupeodes americanus","Diptera",193,"Geranium caespitosum",2,"Past"
"481","Eupeodes americanus","Diptera",168,"Penstemon virens",2,"Past"
"483","Halictus virgatellus","Hymenoptera",164,"Rubus deliciosus",10,"Past"
"484","Halictus virgatellus","Hymenoptera",174,"Rubus deliciosus",7,"Past"
"485","Halictus virgatellus","Hymenoptera",177,"Rubus deliciosus",1,"Past"
"486","Halictus virgatellus","Hymenoptera",179,"Geranium caespitosum",1,"Past"
"487","Halictus virgatellus","Hymenoptera",229,"Geranium caespitosum",42,"Past"
"488","Halictus virgatellus","Hymenoptera",231,"Geranium caespitosum",25,"Past"
"489","Halictus virgatellus","Hymenoptera",232,"Geranium caespitosum",10,"Past"
"490","Halictus virgatellus","Hymenoptera",197,"Geranium caespitosum",2,"Past"
"491","Halictus virgatellus","Hymenoptera",197,"Geranium caespitosum",2,"Past"
"492","Halictus virgatellus","Hymenoptera",206,"Chamaenerion angustifolium",1,"Past"
"493","Halictus virgatellus","Hymenoptera",203,"Chamaenerion angustifolium",1,"Past"
"494","Halictus virgatellus","Hymenoptera",178,"Penstemon glaber",3,"Past"
"495","Halictus virgatellus","Hymenoptera",179,"Penstemon glaber",2,"Past"
"496","Halictus virgatellus","Hymenoptera",205,"Penstemon glaber",1,"Past"
"497","Halictus virgatellus","Hymenoptera",182,"Penstemon glaber",4,"Past"
"498","Halictus virgatellus","Hymenoptera",191,"Penstemon glaber",1,"Past"
"501","Halictus virgatellus","Hymenoptera",188,"Rubus idaeus var. strigosus",2,"Past"
"502","Halictus virgatellus","Hymenoptera",188,"Rubus deliciosus",4,"Past"
"503","Halictus virgatellus","Hymenoptera",187,"Rubus idaeus var. strigosus",2,"Past"
"504","Halictus virgatellus","Hymenoptera",187,"Rubus deliciosus",2,"Past"
"505","Halictus virgatellus","Hymenoptera",187,"Rubus idaeus var. strigosus",1,"Past"
"508","Halictus virgatellus","Hymenoptera",195,"Rubus idaeus var. strigosus",1,"Past"
"511","Halictus virgatellus","Hymenoptera",193,"Aquilegia coerulea",7,"Past"
