Poll_spec,Poll_order,Julian_day,Plant_spec,Freq,Ele_m,Lat,Lon,Period
Tenthredinidae sp.,Hymenoptera,173,Geum rossii var. turbinatum,1,4235.375,38.84012301,-105.041088,Present
Tenthredinidae sp.,Hymenoptera,173,Geum rossii var. turbinatum,1,4235.375,38.84012301,-105.041088,Present
Acmaeodera mixta,Coleoptera,205,Heterotheca villosa,1,2190.233398,38.86296202,-104.93801,Present
Nysius sp.,Hemiptera,176,Geum rossii var. turbinatum,1,4235.748535,38.84025101,-105.041082,Present
Acmaeodera mixta,Coleoptera,198,Erigeron speciosus,1,2199.44165,38.86273001,-104.93794,Present
Phasia sp.,Diptera,191,Minuartia obtusiloba,1,4233.056641,38.840337,-105.041081,Present
Selasphorus platycercus,Apodiformes,221,Chamaenerion angustifolium,1,2785.763184,38.92773,-105.047749,Present
Rhamphomyia spp.,Diptera,176,Geum rossii var. turbinatum,1,4235.691895,38.84018403,-105.041078,Present
Lasioglossum (Dialictus) spp.,Hymenoptera,173,Geum rossii var. turbinatum,1,4230.210449,38.840035,-105.041064,Present
Acmaeodera mixta,Coleoptera,205,Erigeron speciosus,2,2207.522461,38.862728,-104.937911,Present
Allograpta obliqua,Diptera,190,Saxifraga bronchialis subsp. austromontana,1,2388.906738,38.89366502,-104.974221,Present
Nysius sp.,Hemiptera,219,Senecio fremontii var. blitoides,1,4216.083496,38.83973904,-105.041046,Present
Acmaeodera mixta,Coleoptera,174,Opuntia polyacantha,1,2201.588379,38.86258098,-104.937479,Present
Phaonia sp.,Diptera,189,Eritrichium nanum var. elongatum,1,4219.848145,38.83979,-105.04101,Present
Andrena aff. costillensis,Hymenoptera,200,Mentzelia multiflora/speciosa,1,2113.560303,38.85990296,-104.935042,Present
Thaumatomyia sp.,Diptera,191,Claytonia megarhiza,1,4200.115723,38.839732,-105.040929,Present
Phasia sp.,Diptera,191,Geum rossii var. turbinatum,1,4200.115723,38.839732,-105.040929,Present
Orthotylus sp.,Hemiptera,191,Geum rossii var. turbinatum,1,4200.115723,38.839732,-105.040929,Present
Philygria sp.,Diptera,191,Geum rossii var. turbinatum,1,4203.567383,38.83960803,-105.040907,Present
Macrosteles sp.,Hemiptera,191,Geum rossii var. turbinatum,1,4203.567383,38.83960803,-105.040907,Present
Aerophilus sp.,Hymenoptera,211,Geranium richardsonii,1,2663.82007,38.905651,-104.99457,Present
Torymidae spp.,Hymenoptera,191,Geum rossii var. turbinatum,1,4203.567383,38.83960803,-105.040907,Present
Rhamphomyia spp.,Diptera,191,Eritrichium nanum var. elongatum,1,4207.314453,38.83966201,-105.040903,Present
Andrena aff. nigrihirta,Hymenoptera,160,Cymopterus alpinus,1,3607.165283,38.87713197,-105.065363,Present
Allograpta obliqua,Diptera,167,Physocarpus monogynus,1,2424.697754,38.89298801,-104.974161,Present
Colias meadii,Lepidoptera,219,Senecio fremontii var. blitoides,1,4183.917969,38.83936303,-105.040751,Present
Nysius sp.,Hemiptera,173,Geum rossii var. turbinatum,1,4188.65918,38.83976896,-105.040725,Present
Podalonia spp.,Hymenoptera,189,Silene acaulis,1,4195.371094,38.839689,-105.040708,Present
Rhamphomyia spp.,Diptera,191,Eritrichium nanum var. elongatum,1,4196.840332,38.83969696,-105.040706,Present
Rhamphomyia spp.,Diptera,191,Claytonia megarhiza,1,4196.840332,38.83969696,-105.040706,Present
Anthomyiidae spp.,Diptera,176,Geum rossii var. turbinatum,1,4230.863281,38.83988002,-105.04118,Present
Rhamphomyia spp.,Diptera,173,Eritrichium nanum var. elongatum,1,4198.118652,38.83976201,-105.040689,Present
Andrena aff. nigrihirta,Hymenoptera,193,Solidago multiradiata,1,3506.097168,38.868106,-105.055217,Present
Rhamphomyia spp.,Diptera,176,Geum rossii var. turbinatum,1,4187.34863,38.839581,-105.04064,Present
Acmaeodera mixta,Coleoptera,174,Opuntia polyacantha,3,2108.017578,38.85991604,-104.935353,Present
Nysius sp.,Hemiptera,176,Claytonia megarhiza,2,4182.048828,38.83922297,-105.040634,Present
Acmaeodera mixta,Coleoptera,220,Erigeron divergens,1,2185.403076,38.86218804,-104.935135,Present
Agromyzidae spp.,Diptera,191,Claytonia megarhiza,1,4170.083496,38.83936102,-105.040526,Present
Lygaeidae spp.,Hemiptera,191,Claytonia megarhiza,1,4170.083496,38.83936102,-105.040526,Present
Allograpta sp.,Diptera,180,Rubus idaeus,1,2790.366699,38.92730202,-105.048033,Present
Asemosyrphus polygrammus,Diptera,219,Senecio fremontii var. blitoides,1,4177.07422,38.839381,-105.04049,Present
Asemosyrphus polygrammus,Diptera,199,Hymenoxys grandiflora,1,3584.51733,38.876255,-105.06453,Present
Nysius sp.,Hemiptera,219,Senecio fremontii var. blitoides,5,4169.633301,38.83943704,-105.040491,Present
Colias meadii,Lepidoptera,219,Senecio fremontii var. blitoides,1,4169.633301,38.83943704,-105.040491,Present
Anthomyiidae spp.,Diptera,210,Rhodiola integrifolia,1,4238.157227,38.84073297,-105.041178,Present
Brachypalpus cyanogaster,Diptera,191,Rubus idaeus var. strigosus,1,2654.04541,38.90226401,-104.992376,Present
Anthophora bomboides,Hymenoptera,208,Asclepias speciosa,1,2800.591553,38.92267403,-105.023447,Present
Aglais milberti,Lepidoptera,219,Senecio fremontii var. blitoides,1,4184.229492,38.83910201,-105.040406,Present
Brachypalpus femorata,Diptera,146,Prunus pensylvanica,1,2099.246826,38.85196002,-104.938519,Present
Anthophora bomboides,Hymenoptera,208,Asclepias speciosa,1,2800.591553,38.92267403,-105.023447,Present
Anthophora bomboides,Hymenoptera,217,Chamaenerion angustifolium,1,2776.700195,38.92824104,-105.047344,Present
Thricops spp.,Diptera,213,Geum rossii var. turbinatum,1,4172.563965,38.83957299,-105.040337,Present
Nysius sp.,Hemiptera,191,Silene acaulis,1,4172.113281,38.83957199,-105.040332,Present
Euxoa spp.,Lepidoptera,176,Geum rossii var. turbinatum,1,4167.813477,38.83972999,-105.040305,Present
Nematinae sp.,Hymenoptera,191,Geum rossii var. turbinatum,1,4172.543945,38.83972596,-105.040274,Present
Xyonysius californicus,Hemiptera,183,Androsace chamaejasme subsp. carinata,1,4176.893555,38.83973602,-105.040245,Present
Lonchaeidae spp.,Diptera,176,Geum rossii var. turbinatum,1,4160.00293,38.84000198,-105.040243,Present
Ametastegia sp.,Hymenoptera,176,Geum rossii var. turbinatum,1,4160.00293,38.84000198,-105.040243,Present
Lygaeus kalmii,Hemiptera,176,Geum rossii var. turbinatum,1,4168.807129,38.83986603,-105.04024,Present
Anthomyiidae spp.,Diptera,210,Rhodiola integrifolia,1,4238.157227,38.84073297,-105.041178,Present
Anthomyiidae spp.,Diptera,183,Eritrichium nanum var. elongatum,1,4236.90576,38.840775,-105.04116,Present
Rhamphomyia spp.,Diptera,204,Geum rossii var. turbinatum,1,4152.923828,38.84041403,-105.040168,Present
Anthophora bomboides,Hymenoptera,200,Chamaenerion angustifolium,1,2763.737305,38.92819201,-105.047033,Present
Chloropidae spp.,Diptera,189,Geum rossii var. turbinatum,1,4151.837891,38.84047103,-105.040073,Present
Acmaeodera mixta,Coleoptera,220,Achillea millefolium,1,2187.074219,38.86219801,-104.935132,Present
Andrena apacheorum,Hymenoptera,208,Erigeron speciosus,1,2621.272217,38.90167996,-104.992436,Present
Muscidae spp.,Diptera,190,Geum rossii var. turbinatum,1,4150.367188,38.84101703,-105.039844,Present
Protophormia terraenovae,Diptera,190,Bistorta bistortoides,1,4148.175293,38.84106296,-105.039789,Present
Anthomyiidae spp.,Diptera,210,Rhodiola integrifolia,1,4234.525391,38.84001103,-105.041156,Present
Acmaeodera mixta,Coleoptera,220,Dietra bigelovii,1,2173.849609,38.86238996,-104.93505,Present
Anthomyiidae spp.,Diptera,210,Rhodiola integrifolia,1,4234.525391,38.84001103,-105.041156,Present
Anthophora bomboides,Hymenoptera,221,Chamaenerion angustifolium,1,2785.763184,38.92773,-105.047749,Present
Lygaeus kalmii,Hemiptera,191,Cymopterus lemmonii,1,4133.584961,38.84031798,-105.039671,Present
Anthomyiidae spp.,Diptera,210,Senecio fremontii var. blitoides,1,4244.760742,38.84073598,-105.041114,Present
Anthophora bomboides,Hymenoptera,174,Penstemon virens,1,2209.43457,38.86764399,-104.943523,Present
Muscidae spp.,Diptera,219,Geum rossii var. turbinatum,1,4139.501953,38.84044304,-105.039639,Present
Anthomyiidae spp.,Diptera,173,Geum rossii var. turbinatum,1,4198.118652,38.83976201,-105.040689,Present
Nysius sp.,Hemiptera,191,Cymopterus lemmonii,10,4133.163574,38.84014204,-105.039619,Present
Thricops spp.,Diptera,219,Geum rossii var. turbinatum,1,4124.102539,38.83992403,-105.039604,Present
Lygaeidae spp.,Hemiptera,190,Geum rossii var. turbinatum,1,4130.608398,38.84001296,-105.039592,Present
Anthomyiidae spp.,Diptera,210,Senecio fremontii var. blitoides,1,4168.890625,38.83929396,-105.04049,Present
Andrena apacheorum,Hymenoptera,211,Geranium caespitosum,1,2631.399658,38.90304898,-104.992402,Present
Rhamphomyia spp.,Diptera,176,Geum rossii var. turbinatum,1,4130.633301,38.83998999,-105.039553,Present
Muscidae spp.,Diptera,191,Geum rossii var. turbinatum,1,4122.494629,38.83952304,-105.039451,Present
Macrocera sp.,Diptera,212,Saxifraga bronchialis subsp. austromontana,3,3275.42847,38.866591,-105.039,Present
Anthomyiidae spp.,Diptera,210,Rhodiola integrifolia,1,4150.550781,38.84021002,-105.040188,Present
Andrena apacheorum,Hymenoptera,223,Swertia perennis,1,2640.410645,38.90300204,-104.992225,Present
Chlamydatus sp.,Hemiptera,191,Cymopterus lemmonii,1,4109.470703,38.83890102,-105.038567,Present
Rhamphomyia spp.,Diptera,183,Geum rossii var. turbinatum,1,4117.179688,38.838955,-105.038531,Present
Iteaphila spp.,Diptera,191,Geum rossii var. turbinatum,1,4102.481445,38.83888802,-105.038387,Present
Muscidae spp.,Diptera,204,Geum rossii var. turbinatum,1,4103.46875,38.83891099,-105.038387,Present
Nabis (Reduviolus) sp.,Hemiptera,191,Achillea millefolium,1,4102.996582,38.83879901,-105.03838,Present
Liorhyssus hyalinus,Hemiptera,191,Achillea millefolium,1,4102.996582,38.83879901,-105.03838,Present
Andrena apacheorum,Hymenoptera,227,Geranium caespitosum,1,2776.970459,38.92526203,-105.021858,Present
Torymidae spp.,Hymenoptera,191,Achillea millefolium,1,4102.996582,38.83879901,-105.03838,Present
Torymidae spp.,Hymenoptera,191,Achillea millefolium,1,4102.996582,38.83879901,-105.03838,Present
Anthophora bomboides,Hymenoptera,158,Rosa acicularis subsp. sayi,1,2095.230713,38.85244399,-104.937954,Present
Anthophora bomboides,Hymenoptera,159,Rosa acicularis subsp. sayi,1,2097.137207,38.85243301,-104.937929,Present
Acmaeodera mixta,Coleoptera,210,Achillea millefolium,1,2082.073486,38.85884299,-104.934863,Present
Brachypalpus sp.,Diptera,158,Salix scouleriana,1,2630.103027,38.89762203,-105.003774,Present
Anthomyiidae spp.,Diptera,210,Rhodiola integrifolia,1,4150.550781,38.84021002,-105.040188,Present
Noctuidae spp.,Lepidoptera,190,Silene acaulis,1,4087.94507,38.83872,-105.03802,Present
Calliphora spp.,Diptera,190,Geum rossii var. turbinatum,1,4085.237061,38.83872097,-105.037977,Present
Noctuidae spp.,Lepidoptera,190,Silene acaulis,1,4081.290527,38.83866699,-105.037929,Present
Nysius sp.,Hemiptera,190,Minuartia obtusiloba,2,4075.825928,38.83871997,-105.037689,Present
Muscidae spp.,Diptera,190,Geum rossii var. turbinatum,1,4083.12451,38.838547,-105.03768,Present
Chalcosyrphus spp.,Diptera,174,Sambucus racemosa,1,3140.962891,38.89141699,-105.067008,Present
Muscidae spp.,Diptera,190,Geum rossii var. turbinatum,1,4072.266602,38.83853699,-105.037522,Present
Fiebrigella sp.,Diptera,219,Gentiana algida,1,4024.177979,38.84003299,-105.037256,Present
Nysius sp.,Hemiptera,219,Gentiana algida,1,4024.177979,38.84003299,-105.037256,Present
Fiebrigella sp.,Diptera,219,Bistorta bistortoides,1,4014.964355,38.84011497,-105.03723,Present
Muscidae spp.,Diptera,183,Geum rossii var. turbinatum,1,4028.783936,38.83930603,-105.036972,Present
Phoridae spp.,Diptera,219,Saxifraga bronchialis subsp. austromontana,1,4001.189697,38.84091703,-105.036958,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2091.4729,38.85274096,-104.937517,Present
Fiebrigella sp.,Diptera,219,Geum rossii var. turbinatum,1,4000.371826,38.84100303,-105.036901,Present
Muscidae spp.,Diptera,219,Geum rossii var. turbinatum,1,4030.48169,38.839011,-105.03684,Present
Muscidae spp.,Diptera,183,Geum rossii var. turbinatum,1,4033.23657,38.839015,-105.0368,Present
Anthomyiidae spp.,Diptera,183,Geum rossii var. turbinatum,1,4153.711914,38.84103203,-105.03977,Present
Anthomyiidae spp.,Diptera,190,Geum rossii var. turbinatum,1,4133.74121,38.840469,-105.03971,Present
Drymeia sp.,Diptera,183,Geum rossii var. turbinatum,1,4037.38208,38.83863699,-105.03658,Present
Drymeia sp.,Diptera,183,Geum rossii var. turbinatum,1,4037.38208,38.83863699,-105.03658,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2091.4729,38.85274096,-104.937517,Present
Andrena apacheorum,Hymenoptera,217,Geranium richardsonii,1,2781.34668,38.92417498,-105.022244,Present
Anthophora bomboides,Hymenoptera,142,Penstemon secundiflorus,1,2110.96606,38.853498,-104.93704,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2080.603271,38.85302,-104.936608,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2080.603271,38.85302,-104.936608,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2080.603271,38.85302,-104.936608,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2080.603271,38.85302,-104.936608,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2080.603271,38.85302,-104.936608,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2080.603271,38.85302,-104.936608,Present
Anthophora bomboides,Hymenoptera,166,Penstemon virens,1,2479.288818,38.85363297,-104.935757,Present
Anthophora bomboides,Hymenoptera,174,Opuntia polyacantha,1,2200.89575,38.861832,-104.93522,Present
Anthophora bomboides,Hymenoptera,160,Penstemon secundiflorus,1,2160.797119,38.86004797,-104.932605,Present
Omalus spp.,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Omalus spp.,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Pseudomalus purpuratus,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Hylaeus wootoni,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Passaloecus sp.,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Formica (fusca group) spp.,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Formica (fusca group) spp.,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Formica (fusca group) spp.,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Lasioglossum (Dialictus) spp.,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Lasioglossum (Dialictus) spp.,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Lasioglossum (Lasioglossum) spp.,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Hoplitis albifrons,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Hoplitis producta,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia albolateralis,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia albolateralis,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia albolateralis,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia atrocyanea,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bella,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bella,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia brevis,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia brevis,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia brevis,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bruneri,Hymenoptera,195,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
Osmia bucephala,Hymenoptera,192,Penstemon glaber,1,3932.99072,38.843936,-105.03448,Present
